Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
ANA ,2022-12-29 20:03:04,00:00:22,Autoplayed: user action: None; ,Mistério no Mediterrâneo (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:22,00:00:22,BR (Brazil)
ANA ,2022-12-29 20:01:20,00:01:32,Autoplayed: user action: None; ,Klaus (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:01:32,00:01:32,BR (Brazil)
ANA ,2022-12-29 19:59:34,00:00:12,Autoplayed: user action: None; ,Kung Fu Hustle_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:12,00:00:12,BR (Brazil)
ANA ,2022-12-02 23:35:22,00:00:15,Autoplayed: user action: None; ,Justiça em Família (Clipe 2): Justiça em Família,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:15,00:00:15,BR (Brazil)
ANA ,2022-12-02 23:34:57,00:00:04,Autoplayed: user action: None; ,Temporada 4 (Trailer): Elite,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,00:00:04,BR (Brazil)
ANA ,2022-12-02 23:34:44,00:00:10,Autoplayed: user action: None; ,Temporada 1 (Clipe): 1899,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:10,00:00:10,BR (Brazil)
ANA ,2022-12-02 23:34:17,00:00:14,Autoplayed: user action: None; ,Virgin River: Temporada 1 (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:14,00:00:14,BR (Brazil)
ANA ,2022-12-02 23:33:29,00:00:09,Autoplayed: user action: None; ,Temporada 2 (Teaser 2): Cuphead - A Série,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:09,00:00:09,BR (Brazil)
ANA ,2022-12-02 23:33:03,00:00:04,Autoplayed: user action: None; ,Kung Fu Hustle_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,Not latest view,BR (Brazil)
ANA ,2022-12-02 23:32:43,00:00:04,Autoplayed: user action: None; ,Trailer: Instinto Assassino,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,00:00:04,BR (Brazil)
ANA ,2022-12-02 23:32:28,00:00:10,Autoplayed: user action: None; ,Trailer: Cabras da Peste,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:10,00:00:10,BR (Brazil)
ANA ,2022-12-02 23:31:44,00:00:28,Autoplayed: user action: None; ,The Last Witch Hunter_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:28,00:00:28,BR (Brazil)
ANA ,2022-12-02 23:30:51,00:00:41,Autoplayed: user action: None; ,Faster_hook_01_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:41,00:00:41,BR (Brazil)
ANA ,2022-12-02 23:30:32,00:00:11,Autoplayed: user action: None; ,Trailer: Racionais: Das Ruas de São Paulo Pro Mundo,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:11,00:00:11,BR (Brazil)
ANA ,2022-12-02 23:30:23,00:00:07,Autoplayed: user action: None; ,Marlon: Temporada 1 (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:08,00:00:08,BR (Brazil)
ANA ,2022-12-02 23:30:12,00:00:07,Autoplayed: user action: None; ,Grizzy and the Lemmings: Season 2_hook_02_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:07,00:00:07,BR (Brazil)
ANA ,2022-12-02 23:29:20,00:00:47,Autoplayed: user action: None; ,Medieval_hook_03_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:47,00:00:47,BR (Brazil)
ANA ,2022-12-02 23:28:50,00:00:27,Autoplayed: user action: None; ,"Temporada 1 (Clipe): Sexo, Sangue &  Realeza",HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:27,00:00:27,BR (Brazil)
ANA ,2022-12-02 23:28:17,00:00:20,Autoplayed: user action: None; ,The Flash: Season 1_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:20,00:00:20,BR (Brazil)
ANA ,2022-12-02 23:28:08,00:00:07,Autoplayed: user action: None; ,Alerta Vermelho (Clipe): Alerta Vermelho,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:07,00:00:07,BR (Brazil)
ANA ,2022-12-02 23:26:45,00:01:14,Autoplayed: user action: None; ,Virgin River: Temporada 1 (Trailer),TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:01:14,Not latest view,BR (Brazil)
ANA ,2022-12-02 23:26:15,00:00:27,Autoplayed: user action: None; ,Depois do Universo (Clipe): Depois do Universo,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:27,00:00:27,BR (Brazil)
ANA ,2022-12-02 23:25:35,00:00:28,Autoplayed: user action: None; ,Temporada 5 (Clipe): Cobra Kai,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:28,00:00:28,BR (Brazil)
ANA ,2022-12-02 23:25:22,00:00:11,Autoplayed: user action: None; ,A Escola do Bem e do Mal (Clipe): A Escola do Bem e do Mal,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:11,00:00:11,BR (Brazil)
ANA ,2022-12-02 23:25:05,00:00:05,Autoplayed: user action: None; ,Continência ao Amor (Clipe): Continência ao Amor,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:05,00:00:05,BR (Brazil)
ANA ,2022-12-02 23:24:58,00:00:04,Autoplayed: user action: None; ,Temporada 4 (Clipe): Manifest,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,00:00:04,BR (Brazil)
ANA ,2022-12-02 23:24:32,00:00:23,Autoplayed: user action: None; ,Temporada 5 (Clipe): The Crown,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:23,00:00:23,BR (Brazil)
ANA ,2022-12-02 23:24:19,00:00:05,Autoplayed: user action: None; ,Temporada 1 (Teaser 2): Wandinha,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:05,00:00:05,BR (Brazil)
ANA ,2022-12-02 23:24:03,00:00:08,Autoplayed: user action: None; ,Justiça em Família (Clipe 2): Justiça em Família,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:08,Not latest view,BR (Brazil)
ANA ,2022-12-02 23:23:11,00:00:18,Autoplayed: user action: None; ,Serenity_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:18,00:00:18,BR (Brazil)
ANA ,2022-12-02 23:22:40,00:00:26,Autoplayed: user action: None; ,Trailer: Zona de Combate,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:26,00:00:26,BR (Brazil)
ANA ,2022-12-02 21:46:33,01:35:47,,O Troll da Montanha,,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,01:35:47,01:35:47,BR (Brazil)
ANA ,2022-12-02 21:45:46,00:00:38,Autoplayed: user action: None; ,Teaser: O Troll da Montanha,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:38,00:00:38,BR (Brazil)
ANA ,2022-11-27 23:34:26,00:00:41,Autoplayed: user action: None; ,Trailer: Enola Holmes,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:41,00:00:41,BR (Brazil)
ANA ,2022-11-27 21:13:26,02:04:38,Autoplayed: user action: User_Interaction; ,Enola Holmes 2,,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,02:04:39,02:04:39,BR (Brazil)
ANA ,2022-11-27 21:11:57,00:00:25,Autoplayed: user action: None; ,"Temporada 1 (Clipe): Sexo, Sangue &  Realeza",HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:25,00:00:25,BR (Brazil)
ANA ,2022-11-27 21:11:16,00:00:04,Autoplayed: user action: None; ,Temporada 1 (Clipe): Café com Aroma de Mulher,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,00:00:04,BR (Brazil)
ANA ,2022-11-27 21:11:02,00:00:06,Autoplayed: user action: None; ,The Walking Dead: Season 1_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:06,00:00:06,BR (Brazil)
ANA ,2022-11-27 21:10:52,00:00:06,Autoplayed: user action: None; ,Sing_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:06,00:00:06,BR (Brazil)
ANA ,2022-11-27 21:10:19,00:00:09,Autoplayed: user action: None; ,Temporada 4 (Clipe): Manifest,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:09,Not latest view,BR (Brazil)
ANA ,2022-11-27 00:43:00,00:00:15,Autoplayed: user action: None; ,Trailer: Enola Holmes 2,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:16,00:00:16,BR (Brazil)
ANA ,2022-11-26 23:42:57,00:01:41,Autoplayed: user action: None; ,Trailer: Enola Holmes 2,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:01:41,Not latest view,BR (Brazil)
ANA ,2022-11-26 23:42:49,00:00:04,Autoplayed: user action: None; ,Trailer: O Diário de Noel,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:04,00:00:04,BR (Brazil)
ANA ,2022-11-26 23:42:20,00:00:24,Autoplayed: user action: None; ,Queen of the South: Season 1_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:24,00:00:24,BR (Brazil)
ANA ,2022-11-26 23:41:52,00:00:25,Autoplayed: user action: None; ,Trailer: Uma Quedinha de Natal,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:25,00:00:25,BR (Brazil)
ANA ,2022-11-26 23:41:27,00:00:11,Autoplayed: user action: None; ,Teaser 2: O Enfermeiro da Noite,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:11,00:00:11,BR (Brazil)
ANA ,2022-11-26 23:40:01,00:00:55,Autoplayed: user action: None; ,Faster_hook_01_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:55,Not latest view,BR (Brazil)
ANA ,2022-11-26 23:38:54,00:00:49,Autoplayed: user action: None; ,War_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:49,00:00:49,BR (Brazil)
ANA ,2022-11-26 23:37:57,00:00:50,Autoplayed: user action: None; ,Bala Perdida 2 (Clipe): Bala Perdida 2,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:50,00:00:50,BR (Brazil)
ANA ,2022-11-26 23:37:15,00:00:35,Autoplayed: user action: None; ,Alerta Vermelho (Clipe): Alerta Vermelho,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:35,Not latest view,BR (Brazil)
ANA ,2022-11-26 23:37:02,00:00:10,Autoplayed: user action: None; ,The Flash: Season 1_hook_primary_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:10,Not latest view,BR (Brazil)
ANA ,2022-11-26 23:36:46,00:00:09,Autoplayed: user action: None; ,Temporada 1 (Trailer): Wandinha,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:09,00:00:09,BR (Brazil)
ANA ,2022-11-26 20:21:50,00:00:45,Autoplayed: user action: None; ,Temporada 1 (Trailer): Wandinha,TRAILER,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:45,Not latest view,BR (Brazil)
ANA ,2022-11-26 20:20:09,00:00:49,Autoplayed: user action: None; ,Temporada 1 (Clipe): Wandinha,HOOK,Samsung CE 2021 Kant-S2e UHD (AU8000) TV Smart TV,00:00:49,00:00:49,BR (Brazil)
PAULO,2023-01-09 19:08:07,00:22:32,,One-Punch Man: Temporada 2: Limpando a bagunça do discípulo (Episódio 12),,Android DefaultWidevineL3Phone Android Phone,00:23:47,00:23:47,BR (Brazil)
